405	375	1.24
515	539	0.93
508	515	0.47
515	516	1.26
538	516	0.8
538	559	0.98
539	538	0.7
553	539	0.66
490	494	0.36
494	503	0.69
559	588	1.57
493	496	0.24
475	462	0.67
458	462	0.18
462	468	0.47
415	397	0.99
471	476	0.46
468	471	0.38
471	451	1.02
476	488	0.9
534	517	0.66
588	562	0.94
600	602	0.12
585	596	0.84
614	596	0.86
597	585	0.46
597	614	1.02
621	597	0.88
585	569	0.51
572	557	0.76
551	557	0.21
528	537	0.28
540	537	0.21
537	551	0.46
527	528	0.08
529	519	0.38
519	527	0.37
448	463	0.74
448	438	0.37
426	448	1.02
463	450	0.54
438	450	0.6
438	424	0.62
433	438	0.3
450	458	0.54
450	445	0.11
415	429	0.66
445	429	0.69
425	432	0.29
432	414	0.78
432	442	0.63
407	393	0.88
393	397	0.42
378	393	0.97
442	451	0.26
616	635	1.03
618	600	0.98
628	614	0.61
614	594	0.82
598	621	1.08
621	628	0.47
589	598	0.6
623	598	1.12
577	589	0.59
615	589	1.62
544	546	0.45
546	551	0.81
544	529	0.66
550	544	1.51
518	529	1.53
529	535	0.48
511	518	0.59
531	518	0.59
511	500	0.72
426	433	0.54
424	415	0.39
424	407	1.03
424	445	0.77
407	378	1.25
409	414	0.3
409	400	0.59
399	409	0.38
414	430	0.62
414	412	0.7
430	412	0.76
430	439	0.41
470	452	1
609	611	0.83
617	609	0.51
607	609	0.25
610	617	0.34
625	610	0.77
610	607	0.45
625	630	0.41
635	625	1.31
635	645	0.48
642	635	0.66
675	642	2.09
647	642	0.66
608	577	1.32
566	577	0.85
526	521	0.24
532	526	0.27
521	511	0.48
521	531	0.7
487	482	0.21
466	482	1.41
395	404	3.91
397	392	0.41
392	377	0.59
392	399	0.4
400	396	0.26
400	408	0.37
396	390	0.55
391	396	0.38
408	411	0.46
412	408	0.26
411	383	1.19
512	523	0.57
512	495	1.14
498	512	1.82
556	545	0.3
545	523	0.71
545	552	0.64
565	556	0.57
556	563	0.6
607	565	2.44
606	605	1.02
611	606	0.52
636	634	0.13
634	644	0.57
636	646	0.7
657	646	0.5
646	644	0.22
643	636	0.36
643	657	0.98
666	658	0.82
672	663	0.59
627	640	1.37
622	627	0.36
627	623	0.22
649	627	1.55
622	615	0.34
612	622	0.43
608	615	0.65
615	623	0.58
612	608	0.25
547	550	0.25
549	550	1.23
550	566	0.79
532	547	0.72
547	531	0.65
525	501	1.18
436	406	1.89
466	436	1.46
428	436	0.33
436	459	1.14
398	406	0.41
364	378	0.69
360	364	0.3
364	357	0.83
357	370	0.71
377	368	0.28
377	391	0.83
368	361	0.37
368	384	1.18
384	390	0.39
390	383	0.64
372	383	0.42
372	351	1.19
384	372	0.78
361	372	1.62
416	387	1.38
383	387	0.6
387	389	0.31
420	389	1.54
413	423	0.83
423	402	1.13
423	440	0.83
495	520	1.57
523	533	0.7
552	533	0.8
533	541	0.55
563	552	0.36
570	561	0.28
561	541	0.63
563	570	0.7
575	563	0.62
583	570	0.49
605	575	1.3
565	575	0.97
619	583	1.3
624	605	0.89
626	619	0.36
619	631	1.61
632	626	0.44
626	631	1.33
620	624	0.5
641	632	0.7
659	652	0.64
652	641	0.59
664	659	0.49
644	659	1.09
657	664	0.69
666	671	1.32
690	677	1.17
